Domain	Phylum	Class	Order	Family	Genus	Species	SGB	altNames
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp910575435	SGB41251	Butyribacter sp910575435 [SGB41251]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC165282	MGBC165282 sp910589265	SGB41253	MGBC165282 sp910589265 [SGB41253]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp910574895	SGB41268	Eubacterium_G sp910574895 [SGB41268]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp009911175	SGB41401	Schaedlerella sp009911175 [SGB41401]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp910575475	SGB41402	Schaedlerella sp910575475 [SGB41402]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B sp910589275	SGB41408	Lachnoclostridium_B sp910589275 [SGB41408]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens musculi	SGB41410	Sporofaciens musculi [SGB41410]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910574885	SGB41411	Sporofaciens sp910574885 [SGB41411]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp011960625	SGB41412	Sporofaciens sp011960625 [SGB41412]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910577685	SGB41413	Sporofaciens sp910577685 [SGB41413]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910585725	SGB41414	Sporofaciens sp910585725 [SGB41414]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp009774295	SGB41415	Sporofaciens sp009774295 [SGB41415]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910574715	SGB41417	Sporofaciens sp910574715 [SGB41417]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens		SGB41418	Sporofaciens  [SGB41418]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp910579015	SGB41420	Sporofaciens sp910579015 [SGB41420]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7109	UBA7109 sp910576335	SGB41421	UBA7109 sp910576335 [SGB41421]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MD308	MD308 sp910578455	SGB41424	MD308 sp910578455 [SGB41424]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MD308	MD308 sp910575105	SGB41425	MD308 sp910575105 [SGB41425]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MD308	MD308 sp010206225	SGB41427	MD308 sp010206225 [SGB41427]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC131033	MGBC131033 sp910585655	SGB41429	MGBC131033 sp910585655 [SGB41429]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC164599	MGBC164599 sp910588825	SGB41431	MGBC164599 sp910588825 [SGB41431]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910586445	SGB41435	Eubacterium_J sp910586445 [SGB41435]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910586045	SGB41436	Eubacterium_J sp910586045 [SGB41436]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910579075	SGB41437	Eubacterium_J sp910579075 [SGB41437]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910584345	SGB41440	Eubacterium_J sp910584345 [SGB41440]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp009774535	SGB41443	Eubacterium_J sp009774535 [SGB41443]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910574915	SGB41444	Eubacterium_J sp910574915 [SGB41444]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910577785	SGB41446	14-2 sp910577785 [SGB41446]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp009774455	SGB41451	14-2 sp009774455 [SGB41451]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910585625	SGB41455	14-2 sp910585625 [SGB41455]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910588845	SGB41457	14-2 sp910588845 [SGB41457]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910578825	SGB41459	14-2 sp910578825 [SGB41459]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910575005	SGB41462	14-2 sp910575005 [SGB41462]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910588285	SGB41465	14-2 sp910588285 [SGB41465]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910586355	SGB41472	1XD42-69 sp910586355 [SGB41472]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910589105	SGB41473	1XD42-69 sp910589105 [SGB41473]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910577065	SGB41474	1XD42-69 sp910577065 [SGB41474]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp009911505	SGB41475	1XD42-69 sp009911505 [SGB41475]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910586725	SGB41477	1XD42-69 sp910586725 [SGB41477]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910585825	SGB41478	1XD42-69 sp910585825 [SGB41478]
