"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB43493"	"cohort"	"Fp7"	"cohortFp7"	-1.80818636089312	0	1.61453176587805	0.262737310652716	0.730417430354259	0.45644372689641	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43493"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652718	0.730417430354259	0.456443726896413	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43505"	"genotype"	"ASO"	"genotypeASO"	1.02543487586943	0	0.861285845324782	0.233816147391311	0.730417430354259	0.0998368685948838	0.633293394406921	NA	"prevalence"	32	7
"t__SGB43520"	"cohort"	"Fp7"	"cohortFp7"	1.38957364679662	0	1.04594988392816	0.184003759034115	0.730417430354259	0.334150134729545	0.766843204634024	NA	"prevalence"	32	5
"t__SGB43520"	"genotype"	"ASO"	"genotypeASO"	1.38957364679663	0	1.04594988392816	0.184003759034113	0.730417430354259	0.334150134729542	0.766843204634024	NA	"prevalence"	32	5
"t__SGB43530"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.0962530305326641	0.633293394406921	NA	"prevalence"	32	30
"t__SGB43530"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896412	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43559"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.262737310652715	0.722032743179859	NA	"prevalence"	32	2
"t__SGB43559"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652714	0.730417430354259	0.262737310652714	0.722032743179859	NA	"prevalence"	32	2
"t__SGB44464"	"cohort"	"Fp7"	"cohortFp7"	-1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.262737310652717	0.722032743179859	NA	"prevalence"	32	2
