Domain	Phylum	Class	Order	Family	Genus	Species	SGB
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella minor	SGB7112
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella halotolerans	SGB7113
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella cibaria	SGB7114
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella confusa	SGB7115
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella bombi	SGB7116
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella hellenica	SGB7117
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella paramesenteroides	SGB7118
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella thailandensis	SGB7119
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella oryzae	SGB7120
Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	CFX5		SGB71208
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc lactis	SGB7121_group
Bacteria	Chloroflexota	Anaerolineae	Promineofilales	Promineofilaceae	Promineofilum		SGB71215
Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae			SGB71219
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc citreum	SGB7122
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	CAHJWO01	CAHJWO01 sp903642295	SGB71220
Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum	Acidoferrum sp903970165	SGB71234
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Gp1-AA117	Gp1-AA17		SGB71238
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc falkenbergense	SGB7124
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Gp1-AA133		SGB71241
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCYV01		SGB71246
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae			SGB71249
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc suionicum	SGB7125
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	CAJCIT01	CAJCIT01 sp903970405	SGB71250
Bacteria	Acidobacteriota	Acidobacteriae	UBA7540	UBA7540	QHZM01		SGB71252
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		SGB71253
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAHJWL01	CAHJWL01 sp903642235	SGB71255
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus sp903642225	SGB71256
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides	SGB7126
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Palsa-1315	Palsa-1315 sp005887945	SGB71265
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc inhae	SGB7127
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc kimchii	SGB7128
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	UBA1390	NSJ-32		SGB71281
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc carnosum	SGB7129
Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185		SGB71294
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus pseudoficulneus	SGB7130
Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae			SGB71307
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus tropaeoli	SGB7131
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Eubacterium_M		SGB71318
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus fructosus	SGB7132
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Eubacterium_B		SGB71324
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RUG100		SGB71325
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae			SGB71326
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RGIG7111		SGB71327
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus durionis	SGB7133
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RUG13409		SGB71332
